,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
55,push at key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,871,pushAtKeyPath,,,
56,unshift at key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,879,unshiftAtKeyPath,,,
57,remove at key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,887,removeAtKeyPath,,,
58,set schema,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,895,setSchema,,,
59,save,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,923,save,,,
60,reset user setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,936,resetUserSettings,,,
61,reset setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,940,_resetSettings,,,
62,clear unscoped setting for source,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,969,_clearUnscopedSettingsForSource,,,
63,reset project setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,977,resetProjectSettings,,,
64,clear project setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,990,clearProjectSettings,,,
65,get raw value,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,994,getRawValue,,,
66,set raw value,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1020,setRawValue,,,
67,observe key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1041,observeKeyPath,,,
68,on do change key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1046,onDidChangeKeyPath,,,
69,be sub key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1058,isSubKeyPath,,,
70,set raw default,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1065,setRawDefault,,,
71,set default,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1070,setDefaults,,,
72,deep clone,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1092,deepClone,,,
73,deep default,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1104,deepDefaults,,,
74,set scoped default from schema,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1131,setScopedDefaultsFromSchema,,,
75,extract default from schema,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1153,extractDefaultsFromSchema,,,
76,make value conform to schema,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1164,makeValueConformToSchema,,,
77,reset setting for schema change,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1182,resetSettingsForSchemaChange,,,
