,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
67,,on event,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/path-watcher.js,258,,,,None
68,key path,get,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1272,keyPath,,,
69,,get,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1272,,,,None
70,,open with option,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,341,,,,string
71,,open with option,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,341,,,,None
72,error code,get message for error code,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/pane.js,832,error.code,,,
73,row,pixel position after block for row,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1347,row,,,
74,row,pixel leave for row and column,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1348,row,,,
75,column,pixel leave for row and column,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1348,column,,,
76,row,pixel leave for row and column,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1353,row,,,
77,,pixel leave for row and column,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1353,,,,None
78,,get load package,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,772,,,,None
79,,deactivate package,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,772,,,,None
80,buffer,auto assign language mode,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,45,buffer,,,
81,check state,set state,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,46,CheckingState,,,
82,,emit window event,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,47,,,,string
83,,update window sheet offset,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/title-bar.js,18,,,,None
84,,set,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,691,,,,None
